| Run on Mon Apr 20 01:00:57 2026
|
|gmx_MMPBSA Version=1.6.4 based on MMPBSA.py v.16.0
|Complex Structure file:                                       H2AE121K_run2.tpr
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-292"
|Ligand mask:                    ":293-1274"
|
|Calculations performed using 1312 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    348.62         23.29      23.29         0.64       0.64
ANGLE                 12330.01         77.85      77.85         2.15       2.15
DIHED                 16524.50         46.67      46.67         1.29       1.29
VDWAALS              -13699.68        448.73     448.73        12.39      12.39
EEL                     239.87       1303.36    1303.36        35.98      35.98
1-4 VDW                6439.01         26.40      26.40         0.73       0.73
1-4 EEL              -12602.49         81.92      81.92         2.26       2.26
EGB                 -106985.96       1314.19    1314.19        36.28      36.28
ESURF                   423.88          6.21       6.21         0.17       0.17

GGAS                   9579.83       1384.31    1372.50        38.22      37.89
GSOLV               -106562.09       1314.21    1309.75        36.28      36.16

TOTAL                -96982.26       1908.78     464.23        52.70      12.82

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    245.82         23.29      23.29         0.64       0.64
ANGLE                  4922.21         50.30      50.30         1.39       1.39
DIHED                  6197.67         30.06      30.06         0.83       0.83
VDWAALS               -5352.58        169.82     169.82         4.69       4.69
EEL                  299943.59        621.97     621.97        17.17      17.17
1-4 VDW                2553.52         15.28      15.28         0.42       0.42
1-4 EEL              -42271.50         44.28      44.28         1.22       1.22
EGB                 -330391.09        613.96     613.96        16.95      16.95
ESURF                   248.38          0.53       0.53         0.01       0.01

GGAS                 266238.75        649.51     644.18        17.93      17.78
GSOLV               -330142.71        613.96     614.14        16.95      16.96

TOTAL                -63903.96        893.76     180.00        24.67       4.97

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    102.79          1.07       1.07         0.03       0.03
ANGLE                  7407.79         59.57      59.57         1.64       1.64
DIHED                 10326.82         36.68      36.68         1.01       1.01
VDWAALS               -7462.69         41.17      41.17         1.14       1.14
EEL                   20994.84        806.65     806.65        22.27      22.27
1-4 VDW                3885.49         21.74      21.74         0.60       0.60
1-4 EEL               29669.00         71.14      71.14         1.96       1.96
EGB                  -97347.17        782.23     782.23        21.60      21.60
ESURF                   277.68          2.34       2.34         0.06       0.06

GGAS                  64924.05        814.13     781.01        22.48      21.56
GSOLV                -97069.50        782.23     783.14        21.60      21.62

TOTAL                -32145.45       1129.02      78.03        31.17       2.15

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          1.07       0.00         0.03       0.00
ΔANGLE                    0.00         32.01       0.00         0.88       0.00
ΔDIHED                    0.00         20.07       0.00         0.55       0.00
ΔVDWAALS               -884.41        237.75     423.16         6.56      11.68
ΔEEL                -320698.56        125.26    2274.92         3.46      62.81
Δ1-4 VDW                 -0.00         10.62       0.00         0.29       0.00
Δ1-4 EEL                 -0.00         33.49       0.00         0.92       0.00
ΔEGB                 320752.30         82.00    2276.51         2.26      62.85
ΔESURF                 -102.19          3.34       5.01         0.09       0.14

ΔGGAS               -321582.97        268.73    2295.02         7.42      63.36
ΔGSOLV               320650.12         82.07    2272.58         2.27      62.74

ΔTOTAL                 -932.85        280.98     429.90         7.76      11.87
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
