| Run on Wed Apr 22 17:52:43 2026
|
|gmx_MMPBSA Version=1.6.4 based on MMPBSA.py v.16.0
|Complex Structure file:                                         H3R26C_run3.tpr
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-292"
|Ligand mask:                    ":293-1274"
|
|Calculations performed using 1334 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    347.86         23.60      23.60         0.65       0.65
ANGLE                 12288.55         82.49      82.49         2.26       2.26
DIHED                 16517.31         49.04      49.04         1.34       1.34
VDWAALS              -13810.40        380.26     380.26        10.41      10.41
EEL                    1245.65       2141.52    2141.52        58.63      58.63
1-4 VDW                6428.58         26.62      26.62         0.73       0.73
1-4 EEL              -12113.36         81.67      81.67         2.24       2.24
EGB                 -108140.77       2175.69    2175.69        59.57      59.57
ESURF                   419.17          8.74       8.74         0.24       0.24

GGAS                  10904.18       2178.95    2197.64        59.66      60.17
GSOLV               -107721.60       2175.70    2168.47        59.57      59.37

TOTAL                -96817.42       3079.21     401.04        84.31      10.98

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    245.28         23.58      23.58         0.65       0.65
ANGLE                  4911.96         52.58      52.58         1.44       1.44
DIHED                  6202.12         32.24      32.24         0.88       0.88
VDWAALS               -5331.85        228.58     228.58         6.26       6.26
EEL                  298795.44        682.83     682.83        18.70      18.70
1-4 VDW                2549.93         15.19      15.19         0.42       0.42
1-4 EEL              -42277.16         42.53      42.53         1.16       1.16
EGB                 -329250.94        668.51     668.51        18.30      18.30
ESURF                   248.93          0.48       0.48         0.01       0.01

GGAS                 265095.73        724.50     743.07        19.84      20.34
GSOLV               -329002.01        668.51     668.50        18.30      18.30

TOTAL                -63906.28        985.80     245.94        26.99       6.73

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    102.57          1.07       1.07         0.03       0.03
ANGLE                  7376.58         62.28      62.28         1.71       1.71
DIHED                 10315.19         37.52      37.52         1.03       1.03
VDWAALS               -7487.53         38.95      38.95         1.07       1.07
EEL                   16776.64       1425.14    1425.14        39.02      39.02
1-4 VDW                3878.65         21.00      21.00         0.57       0.57
1-4 EEL               30163.79         70.81      70.81         1.94       1.94
EGB                  -93345.22       1405.34    1405.34        38.48      38.48
ESURF                   275.60          2.69       2.69         0.07       0.07

GGAS                  61125.90       1429.43    1415.73        39.14      38.76
GSOLV                -93069.62       1405.34    1406.15        38.48      38.50

TOTAL                -31943.72       2004.56      79.77        54.88       2.18

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          1.04       0.00         0.03       0.00
ΔANGLE                    0.00         32.37       0.00         0.89       0.00
ΔDIHED                    0.00         20.72       0.00         0.57       0.00
ΔVDWAALS               -991.01        112.74     328.79         3.09       9.00
ΔEEL                -314326.44         33.55    3707.76         0.92     101.52
Δ1-4 VDW                  0.00          9.57       0.00         0.26       0.00
Δ1-4 EEL                 -0.00         31.67       0.00         0.87       0.00
ΔEGB                 314455.39        101.85    3731.72         2.79     102.17
ΔESURF                 -105.36          5.57       7.42         0.15       0.20

ΔGGAS               -315317.45        117.62    3757.46         3.22     102.88
ΔGSOLV               314350.03        102.00    3725.06         2.79     101.99

ΔTOTAL                 -967.42        155.69     334.72         4.26       9.16
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
