| Run on Wed Apr 22 17:32:40 2026
|
|gmx_MMPBSA Version=1.6.4 based on MMPBSA.py v.16.0
|Complex Structure file:                                         H3R26C_run2.tpr
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-292"
|Ligand mask:                    ":293-1274"
|
|Calculations performed using 1323 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    346.83         23.24      23.24         0.64       0.64
ANGLE                 12299.19         82.79      82.79         2.28       2.28
DIHED                 16496.07         48.17      48.17         1.32       1.32
VDWAALS              -13787.63        260.12     260.12         7.15       7.15
EEL                    5073.56       1704.19    1704.19        46.85      46.85
1-4 VDW                6430.67         27.95      27.95         0.77       0.77
1-4 EEL              -12100.49         79.11      79.11         2.17       2.17
EGB                 -112027.00       1699.00    1699.00        46.71      46.71
ESURF                   423.31          6.80       6.80         0.19       0.19

GGAS                  14758.20       1728.78    1726.04        47.53      47.45
GSOLV               -111603.69       1699.02    1693.22        46.71      46.55

TOTAL                -96845.49       2423.91     289.50        66.64       7.96

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    244.37         23.18      23.18         0.64       0.64
ANGLE                  4914.35         52.19      52.19         1.43       1.43
DIHED                  6183.70         31.32      31.32         0.86       0.86
VDWAALS               -5237.91        268.22     268.22         7.37       7.37
EEL                  299486.37        642.27     642.27        17.66      17.66
1-4 VDW                2552.33         17.57      17.57         0.48       0.48
1-4 EEL              -42277.38         44.02      44.02         1.21       1.21
EGB                 -329932.03        635.31     635.31        17.47      17.47
ESURF                   248.59          0.47       0.47         0.01       0.01

GGAS                 265865.82        700.67     691.58        19.26      19.01
GSOLV               -329683.44        635.31     635.30        17.47      17.47

TOTAL                -63817.62        945.81     282.60        26.00       7.77

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    102.46          1.10       1.10         0.03       0.03
ANGLE                  7384.84         62.97      62.97         1.73       1.73
DIHED                 10312.37         35.81      35.81         0.98       0.98
VDWAALS               -7509.76         50.76      50.76         1.40       1.40
EEL                   14651.14        949.56     949.56        26.11      26.11
1-4 VDW                3878.34         21.80      21.80         0.60       0.60
1-4 EEL               30176.90         70.98      70.98         1.95       1.95
EGB                  -91237.87        946.69     946.69        26.03      26.03
ESURF                   272.42          3.35       3.35         0.09       0.09

GGAS                  58996.29        956.56     919.38        26.30      25.28
GSOLV                -90965.45        946.69     948.91        26.03      26.09

TOTAL                -31969.16       1345.82      89.20        37.00       2.45

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          1.04       0.00         0.03       0.00
ΔANGLE                    0.00         32.36       0.00         0.89       0.00
ΔDIHED                    0.00         18.96       0.00         0.52       0.00
ΔVDWAALS              -1039.96         42.66     117.55         1.17       3.23
ΔEEL                -309063.96        112.36    2847.76         3.09      78.29
Δ1-4 VDW                  0.00         11.41       0.00         0.31       0.00
Δ1-4 EEL                  0.00         35.90       0.00         0.99       0.00
ΔEGB                 309142.90        117.00    2841.86         3.22      78.13
ΔESURF                  -97.70          2.98       3.97         0.08       0.11

ΔGGAS               -310103.92        120.18    2899.89         3.30      79.73
ΔGSOLV               309045.20        117.04    2838.43         3.22      78.04

ΔTOTAL                -1058.72        167.76     127.22         4.61       3.50
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
