| Run on Tue Apr 21 04:24:14 2026
|
|gmx_MMPBSA Version=1.6.4 based on MMPBSA.py v.16.0
|Complex Structure file:                                       H2AE121K_run3.tpr
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-292"
|Ligand mask:                    ":293-1274"
|
|Calculations performed using 1302 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    347.89         23.07      23.07         0.64       0.64
ANGLE                 12314.63         83.81      83.81         2.32       2.32
DIHED                 16536.44         49.39      49.39         1.37       1.37
VDWAALS              -13817.43        365.07     365.07        10.12      10.12
EEL                   -2530.81        561.60     561.60        15.56      15.56
1-4 VDW                6437.49         26.85      26.85         0.74       0.74
1-4 EEL              -12603.80         80.72      80.72         2.24       2.24
EGB                 -104194.01        552.36     552.36        15.31      15.31
ESURF                   418.18          4.19       4.19         0.12       0.12

GGAS                   6684.42        682.57     668.14        18.92      18.52
GSOLV               -103775.83        552.37     550.29        15.31      15.25

TOTAL                -97091.41        878.08     392.24        24.33      10.87

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    245.13         23.03      23.03         0.64       0.64
ANGLE                  4904.10         50.66      50.66         1.40       1.40
DIHED                  6194.87         30.55      30.55         0.85       0.85
VDWAALS               -5381.31         78.17      78.17         2.17       2.17
EEL                  300375.81        688.29     688.29        19.07      19.07
1-4 VDW                2551.31         15.76      15.76         0.44       0.44
1-4 EEL              -42285.02         42.97      42.97         1.19       1.19
EGB                 -330798.10        682.57     682.57        18.92      18.92
ESURF                   248.87          0.50       0.50         0.01       0.01

GGAS                 266604.90        697.12     698.50        19.32      19.36
GSOLV               -330549.23        682.57     682.64        18.92      18.92

TOTAL                -63944.33        975.64     101.31        27.04       2.81

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    102.77          1.06       1.06         0.03       0.03
ANGLE                  7410.53         62.26      62.26         1.73       1.73
DIHED                 10341.56         39.39      39.39         1.09       1.09
VDWAALS               -7491.46         40.04      40.04         1.11       1.11
EEL                   22846.22        467.41     467.41        12.95      12.95
1-4 VDW                3886.18         21.55      21.55         0.60       0.60
1-4 EEL               29681.22         66.85      66.85         1.85       1.85
EGB                  -99279.96        459.56     459.56        12.74      12.74
ESURF                   275.29          2.67       2.67         0.07       0.07

GGAS                  66777.02        480.04     466.18        13.30      12.92
GSOLV                -99004.67        459.57     459.84        12.74      12.74

TOTAL                -32227.65        664.56      78.87        18.42       2.19

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          1.03       0.00         0.03       0.00
ΔANGLE                    0.00         29.11       0.00         0.81       0.00
ΔDIHED                    0.00         20.56       0.00         0.57       0.00
ΔVDWAALS               -944.67        246.86     361.50         6.84      10.02
ΔEEL                -325752.83        340.72    1181.51         9.44      32.74
Δ1-4 VDW                 -0.00         10.46       0.00         0.29       0.00
Δ1-4 EEL                  0.00         29.09       0.00         0.81       0.00
ΔEGB                 325884.05        329.34    1182.79         9.13      32.78
ΔESURF                 -105.98          1.02       2.77         0.03       0.08

ΔGGAS               -326697.50        420.75    1241.23        11.66      34.40
ΔGSOLV               325778.07        329.34    1180.54         9.13      32.72

ΔTOTAL                 -919.43        534.32     369.06        14.81      10.23
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
