| Run on Wed Apr 22 09:45:25 2026
|
|gmx_MMPBSA Version=1.6.4 based on MMPBSA.py v.16.0
|Complex Structure file:                                         H3K36M_run3.tpr
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-292"
|Ligand mask:                    ":293-1274"
|
|Calculations performed using 1320 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    347.64         21.83      21.83         0.60       0.60
ANGLE                 12321.67         83.64      83.64         2.30       2.30
DIHED                 16524.59         45.96      45.96         1.26       1.26
VDWAALS              -13715.78        302.83     302.83         8.34       8.34
EEL                    4633.63       1853.17    1853.17        51.01      51.01
1-4 VDW                6435.63         27.32      27.32         0.75       0.75
1-4 EEL              -12813.57         81.95      81.95         2.26       2.26
EGB                 -111247.58       1822.68    1822.68        50.17      50.17
ESURF                   420.03          5.81       5.81         0.16       0.16

GGAS                  13733.81       1882.28    1892.92        51.81      52.10
GSOLV               -110827.55       1822.69    1817.46        50.17      50.02

TOTAL                -97093.74       2620.15     326.19        72.12       8.98

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    245.03         21.83      21.83         0.60       0.60
ANGLE                  4905.18         50.95      50.95         1.40       1.40
DIHED                  6193.71         30.51      30.51         0.84       0.84
VDWAALS               -5101.38        308.28     308.28         8.49       8.49
EEL                  299913.27        643.93     643.93        17.72      17.72
1-4 VDW                2556.48         16.50      16.50         0.45       0.45
1-4 EEL              -42264.39         42.43      42.43         1.17       1.17
EGB                 -330362.55        632.35     632.35        17.40      17.40
ESURF                   248.27          0.50       0.50         0.01       0.01

GGAS                 266447.91        718.16     742.09        19.77      20.43
GSOLV               -330114.28        632.35     632.34        17.40      17.40

TOTAL                -63666.37        956.88     319.32        26.34       8.79

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    102.61          1.04       1.04         0.03       0.03
ANGLE                  7416.49         63.47      63.47         1.75       1.75
DIHED                 10330.88         35.31      35.31         0.97       0.97
VDWAALS               -7512.82         39.06      39.06         1.08       1.08
EEL                   14916.25        911.12     911.12        25.08      25.08
1-4 VDW                3879.14         21.77      21.77         0.60       0.60
1-4 EEL               29450.82         70.74      70.74         1.95       1.95
EGB                  -91170.42        919.87     919.87        25.32      25.32
ESURF                   272.88          2.66       2.66         0.07       0.07

GGAS                  58583.37        917.83     893.10        25.26      24.58
GSOLV                -90897.54        919.87     921.00        25.32      25.35

TOTAL                -32314.17       1299.45      86.24        35.77       2.37

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          1.04       0.00         0.03       0.00
ΔANGLE                   -0.00         30.78       0.00         0.85       0.00
ΔDIHED                   -0.00         19.87       0.00         0.55       0.00
ΔVDWAALS              -1101.57         33.61      43.91         0.93       1.21
ΔEEL                -310195.89        298.12    3035.09         8.21      83.54
Δ1-4 VDW                 -0.00         10.94       0.00         0.30       0.00
Δ1-4 EEL                  0.00         31.21       0.00         0.86       0.00
ΔEGB                 310285.39        270.47    3022.29         7.44      83.19
ΔESURF                 -101.12          2.66       4.15         0.07       0.11

ΔGGAS               -311297.47        300.00    3072.95         8.26      84.58
ΔGSOLV               310184.27        270.48    3018.46         7.44      83.08

ΔTOTAL                -1113.20        403.93      64.37        11.12       1.77
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
