| Run on Wed Apr 22 09:43:24 2026
|
|gmx_MMPBSA Version=1.6.4 based on MMPBSA.py v.16.0
|Complex Structure file:                                         H3K27M_run3.tpr
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-292"
|Ligand mask:                    ":293-1274"
|
|Calculations performed using 1310 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    347.11         23.07      23.07         0.64       0.64
ANGLE                 12319.10         80.76      80.76         2.23       2.23
DIHED                 16517.93         48.79      48.79         1.35       1.35
VDWAALS              -13915.73        267.51     267.51         7.39       7.39
EEL                    6259.20       1140.92    1140.92        31.52      31.52
1-4 VDW                6436.43         26.64      26.64         0.74       0.74
1-4 EEL              -12743.61         90.25      90.25         2.49       2.49
EGB                 -112880.15       1093.70    1093.70        30.22      30.22
ESURF                   424.22          4.33       4.33         0.12       0.12

GGAS                  15220.43       1179.64    1154.74        32.59      31.90
GSOLV               -112455.93       1093.70    1090.20        30.22      30.12

TOTAL                -97235.51       1608.65     287.98        44.45       7.96

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    244.50         23.02      23.02         0.64       0.64
ANGLE                  4914.85         51.91      51.91         1.43       1.43
DIHED                  6204.66         30.12      30.12         0.83       0.83
VDWAALS               -5373.92         79.29      79.29         2.19       2.19
EEL                  300635.93        798.94     798.94        22.07      22.07
1-4 VDW                2552.69         14.35      14.35         0.40       0.40
1-4 EEL              -42270.56         43.39      43.39         1.20       1.20
EGB                 -331077.48        786.11     786.11        21.72      21.72
ESURF                   248.42          0.50       0.50         0.01       0.01

GGAS                 266908.15        806.73     800.30        22.29      22.11
GSOLV               -330829.06        786.11     786.09        21.72      21.72

TOTAL                -63920.91       1126.40     102.21        31.12       2.82

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    102.61          1.07       1.07         0.03       0.03
ANGLE                  7404.25         60.55      60.55         1.67       1.67
DIHED                 10313.27         37.72      37.72         1.04       1.04
VDWAALS               -7493.45         36.53      36.53         1.01       1.01
EEL                   15638.68        775.70     775.70        21.43      21.43
1-4 VDW                3883.74         22.15      22.15         0.61       0.61
1-4 EEL               29526.95         81.91      81.91         2.26       2.26
EGB                  -91945.08        820.15     820.15        22.66      22.66
ESURF                   277.45          2.18       2.18         0.06       0.06

GGAS                  59376.05        784.44     800.43        21.67      22.12
GSOLV                -91667.63        820.15     820.34        22.66      22.67

TOTAL                -32291.59       1134.90      81.22        31.36       2.24

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          1.01       0.00         0.03       0.00
ΔANGLE                   -0.00         31.70       0.00         0.88       0.00
ΔDIHED                    0.00         19.05       0.00         0.53       0.00
ΔVDWAALS              -1048.35        151.69     247.91         4.19       6.85
ΔEEL                -310015.42        433.73    2312.22        11.98      63.88
Δ1-4 VDW                  0.00          9.86       0.00         0.27       0.00
Δ1-4 EEL                 -0.00         35.05       0.00         0.97       0.00
ΔEGB                 310142.41        512.56    2321.66        14.16      64.15
ΔESURF                 -101.65          1.65       3.62         0.05       0.10

ΔGGAS               -311063.77        459.49    2325.21        12.70      64.24
ΔGSOLV               310040.75        512.56    2318.37        14.16      64.05

ΔTOTAL                -1023.01        688.37     252.23        19.02       6.97
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
